"date","symbol","reportedCurrency","cik","filingDate","acceptedDate","fiscalYear","period","revenue","costOfRevenue","grossProfit","researchAndDevelopmentExpenses","generalAndAdministrativeExpenses","sellingAndMarketingExpenses","sellingGeneralAndAdministrativeExpenses","otherExpenses","operatingExpenses","costAndExpenses","netInterestIncome","interestIncome","interestExpense","depreciationAndAmortization","ebitda","ebit","nonOperatingIncomeExcludingInterest","operatingIncome","totalOtherIncomeExpensesNet","incomeBeforeTax","incomeTaxExpense","netIncomeFromContinuingOperations","netIncomeFromDiscontinuedOperations","otherAdjustmentsToNetIncome","netIncome","netIncomeDeductions","bottomLineNetIncome","eps","epsDiluted","weightedAverageShsOut","weightedAverageShsOutDil"
"2022-12-31","PARKIN.AE","AED","0000000000","2022-12-31","2022-12-30 19:00:00","2022","FY",686242000,169629000,516613000,0,110799000,25005000,144708000,717000,373526000,373526000,-320000,0,320000,20615000,336534000,315919000,-241000,313433000,-79000,315599000,0,315599000,0,0,315599000,0,315599000,0.11,0.11,3000000000,3000000000
"2022-12-31","PARKST-A.CO","DKK","0000000000","2022-12-31","2022-12-30 19:00:00","2022","FY",153281000,48606000,104675000,0,0,0,17231000,31845000,31845000,80451000,-29931000,29240000,29931000,3678000,76508000,104429000,-31599000,104429000,1668000,74498000,19518000,54980000,0,0,54980000,0,54980000,1.02,1.02,53709737,53709737
"2023-03-31","PARLEIND.BO","INR","0000000000","2023-03-31","2023-03-29 20:00:00","2022","FY",1050000,2190000,-1140000,0,749000,109000,858000,-2322000,-1464000,6400350,5759000,6954000,1194000,38000,1213650,1175650,-6526000,-5350350,6525350,1175000,784000,391000,0,0,391000,0,391000,0.0279,0.0279,14000000,14000000
"2022-03-31","PARMAX.BO","INR","0000000000","2022-03-31","2022-03-30 20:00:00","2022","FY",182511197,105338029,77173168,0,7499274,1767637,9266911,57571837,66838748,172176777,-3580932,309076,3549819,19320893,25903412,6582519,3751901,10334420,-7301720,3032700,1617567,1415133,0,0,1415133,0,1415133,0.38,0.38,3741300,3741300
"2023-03-31","PARMCOS-B.BO","INR","0000000000","2023-03-31","2023-03-30 20:00:00","2022","FY",267184000,127042707,140141293,0,10887000,34306000,45193000,76266501,120026707,247072000,-16874669,104796,16979000,8075084,28518000,20444000,-427000,20017000,-16552320,3464680,1347124,2117556,0,0,2117556,-444,2118000,0.44,0.44,4855000,4855000
"2023-03-31","PARMSILK.BO","INR","0000000000","2023-03-31","2023-03-30 20:00:00","2022","FY",1716931565,1532772086,184159479,0,0,0,50902062,0,50902062,1583674149,-65162088,53671,65215759,30515735,163773160,137610166,-4352746,133257420,-60863014,72394406,17176454,55217951,0,0,55217951,0,55217951,18.4,18.4,3001100,3001100
"2022-03-31","PARNAXLAB.BO","INR","0000000000","2022-03-31","2022-03-30 20:00:00","2022","FY",1630316620,1150162150,480154470,2788230,41550680,22236740,63787420,241443760,308019410,1454011220,-50685710,1006380,51692090,58655190,232989670,174334480,1970920,176305400,-53663010,122642390,40059550,82582840,0,0,82428500,0,82428500,9.68,9.68,8512044,8512044
"2022-10-31","PARP.PA","EUR","0000000000","2022-10-31","2022-10-30 20:00:00","2022","FY",388771000,272434000,116337000,0,45200000,21100000,66300000,-26142000,92442000,364876000,-4674000,137000,7942000,51462000,96140000,44678000,-3971000,23895000,-3971000,36736000,-516000,37109000,0,0,34205000,0,34205000,3.56,3.56,9610124,9610124
"2022-12-31","PARR","USD","0000821483","2023-02-27","2023-02-27 16:52:15","2022","FY",7321785000,6475783000,846002000,9003000,62396000,0,62396000,613000,404605000,6880388000,-68288000,0,68288000,99769000,542221000,442452000,-4549000,437903000,-73004000,364899000,710000,364189000,0,0,364189000,0,364189000,6.12,6.08,59544000,59883000
"2022-12-31","PARRO.PA","EUR","0000000000","2022-12-31","2022-12-30 19:00:00","2022","FY",71949000,15953000,55996000,43614000,14749000,11114000,25863000,1971000,71448000,87401000,783000,2000,504000,4094999,-14245000,-15657000,-4217000,-15452000,587000,-19290000,435000,-18673000,0,-1049000,-19725000,0,-19517000,-0.65,-0.65,30448409,30448409
"2023-03-31","PARSHVA.BO","INR","0000000000","2023-03-31","2023-03-29 20:00:00","2022","FY",182941000,176603000,6338000,0,0,0,2203000,-88000,2291000,178894000,52001,1073000,1020999,482000,4468000,3985999,61000,4046999,-1081999,2965000,821000,2144000,0,0,2144000,0,2144000,0.21,0.21,10049700,10049700
"2022-03-31","PARSHWANA.BO","INR","0000000000","2022-03-31","2022-03-30 20:00:00","2022","FY",4145000,0,4145000,0,2936000,0,2936000,2880000,5816000,5816000,4729000,4729000,0,0,-1671000,-1671000,0,-1671000,5277000,3606000,635000,2971000,0,0,2971000,0,2971000,0.95,0.95,3132000,3132000
"2023-03-31","PARSVNATH.BO","INR","0000000000","2023-03-31","2023-03-30 20:00:00","2022","FY",4403255000,4550820000,-147565000,-1.477958132563222,128345000,13368000,141713000,383842000,1588415000,6139235000,,130680000,3926622000,5896989000,-690874000,,,-1483774000,-5059406000,-6522547000,1469650000,,,,-8012830000,,,-18.41,-18.41,435181170,435181170
"2023-03-31","PARSVNATH.NS","INR","0000000000","2023-03-31","2023-03-30 20:00:00","2022","FY",4403255000,4550820000,-147565000,-1.477958132563222,128345000,13368000,141713000,383842000,1588415000,6139235000,,130680000,3926622000,5896989000,-690874000,,,-1483774000,-5059406000,-6522547000,1469650000,,,,-8012830000,,,-18.41,-18.41,435181170,435181170
"2022-12-31","PARTNE1.HE","EUR","0000000000","2022-12-31","2022-12-30 19:00:00","2022","FY",85369701,49981922,35387779,0,0,0,18792464,46987278,46987278,96969201,-9140567.81,582841,9723409,7999332,-9683600,-17197262.76,5597763,-11599499.520000003,-15321172.499999996,-26920672.02,442645,-27848989,0,485673,-27363317.62,0.7199999988079071,-24148732.72,-0.76,-0.76,36161194,36161194
"2023-03-31","PARVATI.BO","INR","0000000000","2023-03-31","2023-03-29 20:00:00","2022","FY",891900000,819861000,72039000,0,7260000,14171000,21431000,-772000,36193000,842064000,-36509302,40000,36549466,45016000,94852000,49877000,-41000,49836000,-36508000,13328000,-179000,13507000,0,0,13507000,0,13507000,0.0906,0.0906,149143817,149143817
"2022-12-31","PARXF","USD","0000000000","2022-12-31","2022-12-31 00:00:00","2022","FY",1643589000,622162000,1021427000,0,131579000,0,131579000,5250000,136829000,758991000,5089000,9015000,80000,149010223,924150922,803246000,-22599000,889235000,22519000,803166000,191798000,611368000,0,0,611368000,0,611368000,5.17,5.17,113572000,113661000
"2022-12-31","PAS.WA","PLN","0000000000","2022-12-31","2022-12-30 19:00:00","2022","FY",76447000,6266000,70181000,0,0,0,0,0,28169000,34435000,-188000,16000,151000,2910000,8714000,5804000,112000,5916000,-263000,5653000,800000,4853000,0,0,4323000,0,4323000,2.11,2.11,2052750,2052750
"2022-12-31","PASAB.MX","MXN","0000000000","2022-12-31","2022-12-30 19:00:00","2022","FY",6186876000,4321291000,1865585000,0,0,0,0,0,1348348000,5669639000,-206760000,71347000,278107000,691386000,1305008000,613622000,-96385000,517237000,-181722000,335515000,104799000,230716000,0,5824000,217604000,0,217604000,1.64,1.64,132685366,132685366
"2022-03-31","PASARI.BO","INR","0000000000","2022-03-31","2022-03-30 20:00:00","2022","FY",100,151370,-151270,0,157830,7130,164960,0,1454517,1454514,-791620,390,792010,771070,5015220,4244150,4401020,8645170,-4967530,3677640,-158280,3835920,0,0,3835920,0,3835920,0.28,0.28,13699714,13699714
